#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
12881A;683150;SOULTZ BP;Bureau de Poste;;44 RUE JEAN JAURES;;;68360;SOULTZ HAUT RHIN;68315;FRANCE;47.886113;7.228557;Géocodé au numéro;3631;;;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12888A;683340;THANN;Bureau de Poste;;46 RUE DU GENERAL DE GAULLE;;;68800;THANN;68334;FRANCE;47.808399;7.10723;Géocodé au numéro;3631;;Oui;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12889A;683350;THANNENKIRCH AP;Agence postale communale;12657A;9 RUE SAINTE ANNE;;;68590;THANNENKIRCH;68335;FRANCE;48.2286415;7.3052426468;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12890A;683380;TURCKHEIM BP;Bureau de Poste;;2 BOULEVARD CHARLES GRAD;;;68230;TURCKHEIM;68338;FRANCE;48.087048;7.280264;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12893A;683440;URBES AP;Agence postale communale;12888A;16 GRAND RUE;;;68121;URBES;68344;FRANCE;47.883065285;6.9567546045;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12895A;683490;VILLAGE NEUF BP;Bureau de Poste;;2 RUE DE GEAUNE;;;68128;VILLAGE NEUF;68349;FRANCE;47.605868;7.569767;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12895D;573010;LONGEVILLE LES SAINT AVOLD AP;Agence postale communale;10322A;25 B RUE DES ALLIES;MAIRIE;;57740;LONGEVILLE LES ST AVOLD;57413;FRANCE;49.117047937;6.6392911952;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12897A;683550;WALDIGHOFFEN BP;Bureau de Poste;;2 PLACE JEANNE D ARC; ; ;68640;WALDIGHOFEN;68355;FRANCE;47.550433;7.316928;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12900A;683640;WESTHALTEN AP;Agence postale communale;12888A;1 RUE DE ROUFFACH;;;68250;WESTHALTEN;68364;FRANCE;47.957876;7.259153;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12900D;952230;MENUCOURT AGENCE COMMUNALE AP;Agence postale communale;17559A;RUE PASTEUR;MAIRIE DE MENUCOURT;;95180;MENUCOURT;95388;FRANCE;49.024599003;1.9837176663;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12901A;683650;WETTOLSHEIM AP;Agence postale communale;12769A;4 Place du General de Gaulle;;;68920;WETTOLSHEIM;68365;FRANCE;48.057732;7.298302;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12902A;683680;WIHR AU VAL AP;Agence postale communale;12769A;1 PLACE DES ECOLES;;;68230;WIHR AU VAL;68368;FRANCE;48.051893;7.206237;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12903A;683700;WILDENSTEIN AP;Agence postale communale;12888A;PLACE DE LA MAIRIE;;;68820;WILDENSTEIN;68370;FRANCE;47.976887904;6.9607373657;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12905A;683740;WINTZENHEIM BP;Bureau de Poste;;10 A RUE CLEMENCEAU;;;68920;WINTZENHEIM;68374;FRANCE;48.072399;7.29217;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12906A;683750;WITTELSHEIM BP;Bureau de Poste;;12 RUE DES CHAMPS;;;68310;WITTELSHEIM;68375;FRANCE;47.808198;7.24058;Géocodé au numéro;3631;;;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12907A;683760;WITTENHEIM BP;Bureau de Poste;;12 RUE DE SAINT CLOUD;;;68270;WITTENHEIM;68376;FRANCE;47.811297;7.337306;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12913A;689200;AMMERSCHWIHR TROIS EPIS AP;Agence postale intercommunale;12769A;2 IMPASSE DU PRESIDENT POINCARE; ;LES TROIS EPIS;68410;AMMERSCHWIHR;68005;FRANCE;48.100399573984;7.2297469935467;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12914A;689210;COLMAR NORD BP;Bureau de Poste;;21 RUE DU NORD;;;68000;COLMAR;68066;FRANCE;48.080293;7.360709;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12915A;689220;MULHOUSE BOURTZWILLER BP;Bureau de Poste;;2 RUE DE GUNSBACH;;;68200;MULHOUSE;68224;FRANCE;47.768593;7.321909;Géocodé au numéro;3631;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12916A;689230;MULHOUSE DORNACH;Bureau de Poste;;21 A RUE DE THANN;;;68200;MULHOUSE;68224;FRANCE;47.748298;7.307999;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12917A;689240;MULHOUSE DROUOT BP;Bureau de Poste;;8 RUE DE SAINT LOUIS;;;68100;MULHOUSE;68224;FRANCE;47.753994;7.35985;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12920A;689320;MULHOUSE BRIAND BP;Bureau de Poste;;37 AVENUE ARISTIDE BRIAND;;;68200;MULHOUSE;68224;FRANCE;47.748895;7.325867;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12921A;689330;MULHOUSE PORTE JEUNE;Bureau de Poste;;7 BOULEVARD DE L EUROPE;;;68100;MULHOUSE;68224;FRANCE;47.750693;7.341924;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12924D;513830;VILLEDOMMANGE AP;Agence postale communale;09447A;1 RUE SAINT VINCENT;;;51390;VILLE DOMMANGE;51622;FRANCE;49.201395625;3.9345536441;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12926A;689430;MULHOUSE COTEAUX BP;Bureau de Poste;;23 R DU DOCTEUR ALPHONSE KIENZLER;;;68200;MULHOUSE;68224;FRANCE;47.736888;7.300235;Géocodé au numéro;3631;;Oui;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12927A;689440;COLMAR PASTEUR BP;Bureau de Poste;;21 AVENUE DE L EUROPE;;;68000;COLMAR;68066;FRANCE;48.077997;7.330949;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12930A;690020;AIGUEPERSE AP;Agence postale communale;12938A;LE BOURG;;;69790;AIGUEPERSE;69002;FRANCE;46.277424084;4.4341285926;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12930B;050990;ST ANDRE D EMBRUN AP;Agence postale communale;00695A;BOULEVARD PASTEUR;;HAMEAU DE L EGLISE;05200;ST ANDRE D EMBRUN;05128;FRANCE;44.586618967;6.5347435989;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12932A;690060;AMPLEPUIS BP;Bureau de Poste;;5 PLACE DE L HOTEL DE VILLE; ;;69550;AMPLEPUIS;69006;FRANCE;45.97243974395;4.3314078522003;;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12934A;690090;ANSE BP;Bureau de Poste;;218 AVENUE DE BRIANNE;;;69480;ANSE;69009;FRANCE;45.935294;4.715647;Géocodé au numéro;3631;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12935A;690100;L ARBRESLE;Bureau de Poste;;PLACE DE LA REPUBLIQUE;;;69210;L ARBRESLE;69010;FRANCE;45.836586;4.61593;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12936A;690170;BAGNOLS AP;Agence postale communale;13014A;44 PLACE DE LA MAIRIE;LE BOURG;;69620;BAGNOLS;69017;FRANCE;45.917583;4.60783;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12937A;690180;BEAUJEU BP;Bureau de Poste;;74 RUE GENERAL LECLERC;;;69430;BEAUJEU;69018;FRANCE;46.153305;4.590135;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12938A;690190;BELLEVILLE;Bureau de Poste;;7 RUE DE LA POSTE; ;BELLEVILLE;69220;BELLEVILLE EN BEAUJOLAIS;69019;FRANCE;46.109098;4.749919;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12939A;690210;BESSENAY BP;Bureau de Poste;;LE BOURG; ; ;69690;BESSENAY;69021;FRANCE;45.776793;4.554014;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12941A;690240;LE BOIS D OINGT BP;Bureau de Poste;;RUE JACQUES CORTAY; ; ;69620;LE BOIS D OINGT;69024;FRANCE;45.922493;4.584894;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12942A;690250;BOURG DE THIZY AP;Agence postale communale;13091A;68 RUE DE LA REPUBLIQUE;;BOURG DE THIZY;69240;THIZY LES BOURGS;69248;FRANCE;46.034815;4.298467;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12942D;853220;BARBATRE AP;Agence postale communale;16119A;15 RUE DU CENTRE;;;85630;BARBATRE;85011;FRANCE;46.942588222;-2.179175916;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12943A;690270;BRIGNAIS;Bureau de Poste;;5 PLACE GAMBONI;;;69530;BRIGNAIS;69027;FRANCE;45.673795;4.754674;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12944A;690280;BRINDAS BP;Bureau de Poste;;PLACE DES MARRONNIERS;;;69126;BRINDAS;69028;FRANCE;45.719020847;4.6934363644;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12945A;690290;BRON;Bureau de Poste;;16 RUE DE VERDUN;;;69500;BRON;69029;FRANCE;45.7354;4.909066;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12950A;690340;CALUIRE ET CUIRE;Bureau de Poste;;28 RUE JEAN MOULIN;;;69300;CALUIRE ET CUIRE;69034;FRANCE;45.797893;4.844872;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12952A;690360;CERCIE BP;Bureau de Poste;;PLACE DE L EGLISE; ; ;69220;CERCIE;69036;FRANCE;46.119934;4.671156;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12953A;690370;CHAMBOST ALLIERES AP;Agence postale communale;12938A;2220 ROUTE DE L AZERGUES;;;69870;CHAMBOST ALLIERES;69037;FRANCE;46.018699;4.498709;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12954A;690380;CHAMBOST LONGESSAIGNE AP;Agence postale communale;12935A;5 PLACE DE LA BASCULE;;;69770;CHAMBOST LONGESSAIGNE;69038;FRANCE;45.773597;4.370471;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12955A;690400;CHAMPAGNE AU MONT D OR BP;Bureau de Poste;;PLACE DES ANCIENS COMBATTANTS; ; ;69410;CHAMPAGNE AU MONT D OR;69040;FRANCE;45.7957;4.789709;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12956A;690420;LYON FOCH BP;Bureau de Poste;;16 COURS FRANKLIN ROOSEVELT;;;69006;LYON;69386;FRANCE;45.768597;4.844719;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12957A;690430;CHAPONOST BP;Bureau de Poste;;16 RUE JULES CHAUSSE;;;69630;CHAPONOST;69043;FRANCE;45.708253;4.743598;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12958A;690440;CHARBONNIERES LES BAINS BP;Bureau de Poste;;PLACE DE L OISELIERE;;;69260;CHARBONNIERES LES BAINS;69044;FRANCE;45.781754;4.736947;Géocodé au numéro;3631;;Oui;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12959D;192420;EYGURANDE LPA AP;Agence postale communale;03295A;10 PLACE DE LA MAIRIE;MAIRIE;;19340;EYGURANDE;19080;FRANCE;45.661503019;2.4510643164;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12960A;690460;CHARLY AP;Agence postale communale;13026A;PLACE DE LA MAIRIE;;;69390;CHARLY;69046;FRANCE;45.6507;4.796001;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12961A;690470;CHARNAY AP;Agence postale communale;13014A;5 RUE DE LA POSTE;;;69380;CHARNAY;69047;FRANCE;45.890825744488;4.6680402398686;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12963D;573020;CLOUANGE AP;Agence postale communale;10435A;1 RUE DU MARECHAL JOFFRE;;;57185;CLOUANGE;57143;FRANCE;49.260004392;6.0934168515;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12967A;690550;LES CHERES AP;Agence postale communale;12985A;1 PLACE DE L EGLISE;;;69380;LES CHERES;69055;FRANCE;45.889729218207;4.7429981934307;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12967D;833560;MONTFORT SUR ARGENS AP;Agence postale communale;15644A;RUE DE LA ROUGUIERE;N 7;;83570;MONTFORT SUR ARGENS;83083;FRANCE;43.473627736;6.1215553304;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12968A;690560;CHESSY BP;Bureau de Poste;;RUE DE LA GARE;;;69380;CHESSY;69056;FRANCE;45.887197;4.622277;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12968D;386730;SEYSSINS AP;Agence postale communale;07143A;PARC FRANCOIS MITTERRAND;MAIRIE;;38180;SEYSSINS;38486;FRANCE;45.162335345;5.6865387732;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12969A;690580;CHIROUBLES AP;Agence postale communale;12938A;64 IMPASSE DE LA MAIRIE;;;69115;CHIROUBLES;69058;FRANCE;46.180329867;4.6651272268;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12970A;690600;CLAVEISOLLES AP;Agence postale communale;12938A;50 RUE DE L AZERGUES;;;69870;CLAVEISOLLES;69060;FRANCE;46.100391;4.492766;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12971A;690610;LYON GABRIEL PERI BP;Bureau de Poste;;24 COURS GAMBETTA;;;69007;LYON;69387;FRANCE;45.754893;4.843721;Géocodé au numéro;3631;Oui;Oui;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12972A;690630;COLLONGES AU MONT D OR AP;Agence postale communale;12950A;PLACE DE LA MAIRIE;;;69660;COLLONGES AU MONT D OR;69063;FRANCE;45.8236;4.840058;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12973A;690640;CONDRIEU BP;Bureau de Poste;;1 RUE DES COTES DU RHONE;;;69420;CONDRIEU;69064;FRANCE;45.461594;4.763814;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12975A;690660;COURS LA VILLE BP;Bureau de Poste;;PLACE DE LA LIBERATION;;;69470;COURS LA VILLE;69066;FRANCE;46.099704;4.32108;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12978A;690690;CRAPONNE BP;Bureau de Poste;;17 RUE CENTRALE; ; ;69290;CRAPONNE;69069;FRANCE;45.745896;4.724374;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12980A;690720;DARDILLY BP;Bureau de Poste;;63 AVENUE DE VERDUN; ; ;69570;DARDILLY;69072;FRANCE;45.807469;4.752498;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12982D;775950;LE VAUDOUE AP COMMUNALE AP;Agence postale communale;14786A;2 RUE DES ACACIAS;;;77123;LE VAUDOUE;77485;FRANCE;48.356664482;2.5187706711;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12983A;690780;DUERNE AP;Agence postale communale;13026A;2  RUE DE LA MAIRIE;MAIRIE;;69850;DUERNE;69078;FRANCE;45.685097;4.529868;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12985A;690810;ECULLY;Bureau de Poste;;1 AVENUE EDOUARD AYNARD;;;69130;ECULLY;69081;FRANCE;45.775896;4.778638;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12986A;690840;FLEURIE BP;Bureau de Poste;;RESIDENCE LE VERDONNET; ; ;69820;FLEURIE;69084;FRANCE;46.191961;4.6971;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12988A;690870;FONTAINES ST MARTIN BP;Bureau de Poste;;8 PLACE JEAN MOULIN;;;69270;FONTAINES ST MARTIN;69087;FRANCE;45.844097;4.854927;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12989A;690880;FONTAINES SUR SAONE BP;Bureau de Poste;;4 PLACE DES RENDEZ VOUS; ; ;69270;FONTAINES SUR SAONE;69088;FRANCE;45.834992;4.846668;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12990A;690890;FRANCHEVILLE BP;Bureau de Poste;;3 CHEMIN DE CHANTEGRILLET;;;69340;FRANCHEVILLE;69089;FRANCE;45.738391;4.774365;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12991A;690910;GIVORS;Bureau de Poste;;1 RUE VICTOR HUGO;;;69700;GIVORS;69091;FRANCE;45.587296;4.770959;Géocodé au numéro;3631;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12991D;161800;ANGOULEME GRANDE GARENNE LPA AP;Agence postale communale;02528A;38 RUE PIERRE AUMAITRE;;;16000;ANGOULEME;16015;FRANCE;45.647678761;0.125908454;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12992A;690930;GRANDRIS BP;Bureau de Poste;;21 PLACE DE LA MAIRIE; ;;69870;GRANDRIS;69093;FRANCE;46.039322;4.475382;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12993D;864120;LA VILLEDIEU DU CLAIN LPA AP;Agence postale communale;16352A;5 AVENUE DES BOSQUETS;;;86340;LA VILLEDIEU DU CLAIN;86290;FRANCE;46.455494701;0.3689919534;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12995A;690960;GRIGNY SUR RHONE BP;Bureau de Poste;;3 PLACE HENRI BARBUSSE;;;69520;GRIGNY SUR RHONE;69096;FRANCE;45.60852006403;4.7918114577101;;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12996A;690980;LES HALLES AP;Agence postale communale;12935A;506 GRANDE RUE;MAIRIE;;69610;LES HALLES;69098;FRANCE;45.71893;4.43128;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12996D;012290;BOURG LES VENNES AP;Agence postale communale;00025A;11 RUE DE LA FONTAINE;MAISON DE QUARTIER DES VENNES;;01000;BOURG EN BRESSE;01053;FRANCE;46.189239507;5.2282953373;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12997A;690990;HAUTE RIVOIRE AP;Agence postale communale;12935A;261 GRANDE RUE;;;69610;HAUTE RIVOIRE;69099;FRANCE;45.714693;4.396187;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
12998A;691000;IRIGNY BP;Bureau de Poste;;PLACE DE LA CROIX JAUNE;;;69540;IRIGNY;69100;FRANCE;45.672797;4.821728;Géocodé au numéro;3631;;Oui;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
12999A;691020;JOUX AP;Agence postale communale;13091A;11 PLACE DE LA MAIRIE;;;69170;JOUX;69102;FRANCE;45.887720300195;4.3731345841574;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
